ID,Age,Gender,Attended_Performance,Played_Instrument,Instruments_Played_Text,Duration,Frequency,output_with_sound_A_1_1_YesNo,output_with_sound_A_1_1_Rating,output_with_sound_A_1_1_Count,output_with_sound_A_1_2_YesNo,output_with_sound_A_1_2_Rating,output_with_sound_A_1_2_Count,output_with_sound_A_1_3_YesNo,output_with_sound_A_1_3_Rating,output_with_sound_A_1_3_Count,output_with_sound_A_1_4_YesNo,output_with_sound_A_1_4_Rating,output_with_sound_A_1_4_Count,output_with_sound_B_1_1_YesNo,output_with_sound_B_1_1_Rating,output_with_sound_B_1_1_Count,output_with_sound_B_1_2_YesNo,output_with_sound_B_1_2_Rating,output_with_sound_B_1_2_Count,output_with_sound_B_1_3_YesNo,output_with_sound_B_1_3_Rating,output_with_sound_B_1_3_Count,output_with_sound_B_1_4_YesNo,output_with_sound_B_1_4_Rating,output_with_sound_B_1_4_Count
1764460507330,30-39,Female,Yes,Yes,Electric guitar,<1yr,0,yes,2,2,no,2,0,no,3,0,no,2,0,yes,5,2,no,3,0,yes,4,1,no,4,0
1764467573001,20-29,Female,Yes,Yes,Piano,1-10yr,1-4,yes,4,1,yes,3,1,no,2,0,yes,2,1,yes,5,1,no,2,0,yes,4,1,no,4,0
1764457616763,30-39,Female,Yes,Yes,Guitar,<1yr,0,no,1,0,yes,3,1,no,3,0,no,1,0,yes,6,1,no,3,0,yes,5,1,no,1,0
1764459684303,40-49,Female,Yes,Yes,PIANO,<1yr,0,yes,3,1,yes,5,1,no,1,0,no,1,0,yes,5,1,no,1,0,yes,5,1,no,1,0
1764458642123,20-29,Female,Yes,Yes,Piano,1-10yr,1-4,yes,5,1,yes,5,1,no,1,0,no,1,0,yes,5,1,no,1,0,yes,6,1,no,5,0
1764458159317,30-39,Male,Yes,Yes,piano,1-10yr,1-4,yes,5,2,yes,7,2,yes,4,2,yes,4,2,yes,7,3,yes,7,1,yes,5,4,yes,7,3
1764450472318,20-29,Male,Yes,Yes,"Guitar,piano",1-10yr,0,yes,2,1,yes,3,1,no,1,0,no,1,0,yes,2,1,no,1,0,yes,2,1,no,1,0
1764465863962,20-29,Male,Yes,Yes,"guitar, piano, tambourine and drums",10+yr,5+,yes,5,1,yes,4,1,no,2,0,no,2,0,yes,4,1,no,2,0,yes,3,1,yes,3,1
1764477246372,30-39,Male,Yes,Yes,Guitar,<1yr,0,yes,2,1,yes,3,1,no,1,0,no,1,0,yes,3,1,no,2,0,yes,2,1,no,1,0
1764458666711,20-29,,Yes,Yes,Drums,1-10yr,1-4,yes,5,1,yes,5,1,yes,3,1,no,1,0,yes,5,1,no,1,0,yes,5,1,no,1,0
1764470875288,20-29,Female,Yes,Yes,Piano,<1yr,0,yes,3,1,yes,4,1,no,3,0,yes,2,1,yes,4,2,no,2,0,no,1,0,no,1,0
1764468329152,30-39,Female,Yes,No,,None,None,no,2,0,no,2,0,no,2,0,no,2,0,yes,5,1,no,5,0,yes,5,1,no,1,0
1764468566108,30-39,Female,Yes,Yes,"piano, violin",1-10yr,0,yes,1,1,yes,1,1,no,1,0,no,1,0,yes,1,1,no,4,0,yes,1,1,no,1,0
1764472836092,30-39,Female,Yes,Yes,Piano,<1yr,0,yes,5,1,yes,5,1,no,5,0,yes,5,1,yes,5,1,no,5,0,yes,5,1,yes,5,1
1764448599872,20-29,Female,Yes,Yes,Piano,10+yr,0,yes,4,1,yes,2,1,no,1,0,yes,2,1,yes,2,2,yes,3,1,yes,3,2,yes,4,1
1764469789106,30-39,Male,Yes,Yes,guitar,1-10yr,1-4,yes,2,1,no,1,0,no,2,0,no,1,0,yes,5,2,yes,4,1,yes,4,2,yes,4,1
1764451587315,20-29,Male,Yes,No,,None,None,yes,4,2,yes,4,2,no,2,0,yes,4,2,yes,4,1,no,4,0,yes,3,1,yes,5,2
1764448660303,20-29,Female,Yes,Yes,flute,<1yr,0,yes,1,1,yes,1,1,no,1,0,no,1,0,yes,1,1,no,1,0,yes,1,2,no,1,0
1764467493637,20-29,Female,Yes,No,,None,None,yes,2,1,yes,3,2,no,2,0,no,4,0,yes,5,1,no,4,0,yes,5,1,yes,3,1
1764467999877,40-49,Male,Yes,Yes,Bass,1-10yr,0,no,1,0,no,1,0,no,1,0,no,1,0,no,1,0,no,2,0,no,1,0,no,1,0
1764472785336,60-69,Female,Yes,Yes,"piano, guitar, clarinet, violin, djembe, recorder, aux. percussion",10+yr,5+,yes,1,1,yes,1,1,no,1,0,no,1,0,yes,1,1,no,1,0,yes,1,1,yes,1,2
1764451481768,50-59,Female,Yes,No,,None,None,yes,5,1,yes,5,1,yes,5,1,yes,5,1,yes,5,1,yes,4,1,yes,5,1,yes,5,2
1764461980230,40-49,Female,Yes,No,,None,None,yes,6,1,yes,7,1,yes,5,1,no,5,0,yes,6,1,yes,6,2,yes,7,2,yes,7,2
1764450875808,20-29,Male,Yes,Yes,"Guitar, electric guitar and recorder",1-10yr,0,yes,1,1,yes,1,1,yes,2,1,yes,1,2,yes,2,1,yes,1,1,yes,1,2,yes,1,2
1764466450186,30-39,Female,Yes,No,,None,None,no,1,0,no,6,0,no,2,0,no,4,0,yes,7,1,no,6,0,yes,7,1,no,5,0
1764465594177,40-49,Female,Yes,No,,None,None,yes,6,1,yes,3,1,no,1,0,no,1,0,yes,6,1,yes,3,1,yes,5,1,yes,1,1
1764457053972,40-49,Female,Yes,Yes,piano,1-10yr,1-4,yes,5,2,yes,4,1,no,1,0,yes,2,1,yes,3,1,no,2,0,yes,5,2,yes,4,1
1764472017935,40-49,Female,Yes,No,,None,None,yes,4,1,no,3,0,no,3,0,no,4,0,yes,3,1,no,2,0,yes,3,1,no,2,0
1764476653691,20-29,Female,No,No,,None,None,yes,3,1,yes,3,1,no,2,0,no,1,0,yes,6,1,no,1,0,yes,5,1,yes,3,1
1764463377136,20-29,Male,No,No,,None,None,yes,3,1,no,1,0,yes,2,1,yes,1,1,yes,3,1,no,1,0,yes,1,1,yes,1,1
1764452263431,20-29,Male,Yes,Yes,piano,<1yr,0,yes,2,1,yes,1,1,no,1,0,no,1,0,yes,1,1,no,1,0,yes,1,2,no,1,0
1764463574616,30-39,Male,Yes,No,,None,None,yes,4,4,yes,4,3,yes,3,4,yes,5,3,yes,6,4,yes,5,5,yes,7,7,yes,4,4
1764464835785,20-29,Male,Yes,Yes,Piano,1-10yr,1-4,yes,5,1,yes,5,2,no,1,0,yes,2,1,yes,5,1,yes,2,1,yes,6,1,yes,2,1
1764451477603,20-29,Male,Yes,Yes,"violin, flute, piano and guitar",10+yr,5+,yes,3,1,no,1,0,no,3,0,yes,2,1,yes,5,1,no,1,0,yes,5,1,yes,3,2
1764469379790,30-39,Male,Yes,No,,None,None,yes,5,1,yes,1,1,yes,3,1,yes,5,2,yes,3,1,yes,4,1,yes,3,1,yes,5,2
1764469020586,30-39,Male,Yes,No,,None,None,yes,2,1,yes,3,1,no,2,0,yes,7,1,yes,6,1,no,1,0,yes,6,2,yes,6,2
1764455125811,60-69,Male,Yes,No,,None,None,yes,3,1,yes,3,1,no,2,0,no,2,0,yes,3,1,no,2,0,yes,3,1,no,2,0
1764448864224,20-29,Male,Yes,Yes,"Bass, Guitar, recorder, xylophone.",1-10yr,1-4,yes,4,1,yes,2,1,no,1,0,no,2,0,yes,6,2,no,2,0,yes,6,1,no,1,0
1764467591652,30-39,Female,Yes,No,,None,None,no,1,0,no,1,0,no,1,0,no,1,0,yes,2,1,no,1,0,yes,2,1,no,1,0
1764460547563,20-29,Female,Yes,Yes,PIANO,<1yr,0,yes,5,1,yes,6,1,no,3,0,no,1,0,yes,6,1,no,1,0,yes,5,1,yes,1,1
1764460029030,30-39,Female,Yes,Yes,"Piano,double bass",1-10yr,0,no,3,0,no,3,0,no,2,0,yes,5,1,yes,5,1,no,3,0,yes,5,1,no,4,0
1764458109887,20-29,Male,Yes,Yes,piano,1-10yr,1-4,yes,5,1,yes,5,2,yes,6,2,yes,3,3,yes,6,2,yes,5,2,yes,6,3,yes,3,1
1764461410535,30-39,Female,Yes,Yes,"piano, clarinet.",1-10yr,0,yes,3,1,yes,2,1,no,4,0,yes,4,1,yes,2,1,yes,3,1,yes,3,1,yes,3,1
1764463793255,30-39,Female,Yes,No,,None,None,no,2,0,yes,6,1,no,7,0,no,6,0,yes,2,2,no,5,0,yes,7,1,no,6,0
1764454792049,40-49,Female,Yes,Yes,Accordion,1-10yr,0,no,2,0,yes,3,1,no,2,0,yes,5,1,yes,5,2,no,2,0,yes,4,2,yes,5,2
1764469238301,30-39,Male,Yes,No,,None,None,yes,6,4,yes,6,3,no,2,0,yes,5,4,yes,7,5,no,2,0,yes,7,6,yes,5,3
1764471927030,30-39,Male,Yes,Yes,piano,<1yr,0,yes,7,2,yes,5,1,yes,5,2,yes,5,2,yes,6,3,yes,6,3,yes,6,3,yes,6,3
1764464522351,30-39,Female,Yes,No,,None,None,yes,7,1,yes,7,1,no,1,0,yes,7,2,yes,7,1,yes,7,1,yes,7,1,yes,7,1
1764466893656,20-29,Male,No,Yes,"Piano, flute",1-10yr,0,yes,5,1,yes,5,1,no,1,0,no,1,0,yes,2,1,no,2,0,yes,3,1,no,1,0
1764449840466,30-39,Male,Yes,No,,None,None,no,2,0,no,2,0,no,2,0,no,1,0,yes,4,1,no,3,0,yes,4,1,no,1,0
1764465920569,20-29,Female,Yes,Yes,Piano,1-10yr,1-4,yes,5,1,yes,6,1,no,1,0,yes,1,1,yes,6,1,yes,1,1,yes,5,2,yes,2,1
1764470069410,20-29,Female,Yes,Yes,guiter,<1yr,0,yes,5,6,yes,5,5,yes,5,5,yes,5,5,yes,5,4,yes,5,4,yes,4,6,yes,5,4
1764465855257,20-29,Female,Yes,No,,None,None,yes,5,1,yes,4,1,no,7,0,no,1,0,yes,7,1,no,3,0,yes,7,1,no,5,0
1764460130501,40-49,Female,Yes,Yes,Drums,1-10yr,1-4,yes,6,1,yes,7,1,no,7,0,yes,7,1,yes,7,1,no,7,0,yes,6,2,no,7,0
1764449799534,40-49,Male,Yes,Yes,"guitar, piano",10+yr,0,no,2,0,no,1,0,no,1,0,no,1,0,yes,4,1,no,1,0,yes,2,1,yes,3,1
1764472360328,30-39,Male,Yes,Yes,"clarinet, cornet, piano",1-10yr,1-4,yes,5,4,yes,5,2,no,2,0,yes,5,4,yes,6,3,yes,4,3,yes,6,3,yes,5,3
1764451374671,40-49,Female,Yes,Yes,Guitar,1-10yr,1-4,yes,4,1,no,3,0,no,2,0,yes,5,1,yes,5,1,yes,5,2,yes,4,1,yes,4,2
1764463651702,30-39,Male,Yes,Yes,Drums,1-10yr,1-4,no,2,0,no,6,0,no,6,0,no,2,0,no,6,0,no,7,0,no,6,0,no,5,0
1764470192216,30-39,Male,Yes,Yes,Flute,<1yr,1-4,yes,4,1,yes,5,2,yes,2,2,yes,4,2,yes,1,1,yes,5,3,yes,5,1,yes,5,1
1764472024365,50-59,Female,Yes,No,,None,None,yes,6,1,yes,5,1,no,1,0,no,1,0,yes,6,1,no,1,0,yes,5,1,no,4,0
1764455059698,30-39,Male,Yes,Yes,Drums,<1yr,0,yes,5,1,yes,5,1,no,2,0,no,2,0,yes,6,1,no,2,0,yes,6,1,no,2,0
